client_id,client_name,policy_type,policy_start_date,annual_premium,claims_last_3_years,communication_frequency,client_tenure_years,last_contact_date,industry,region
1001,"Rodriguez, Figueroa and Sanchez",Commercial Auto,2022-04-09,4811.91,0,Annually,6,2024-06-17,Construction,Durham
1002,Doyle Ltd,Commercial Auto,2017-05-10,10243.22,3,Quarterly,9,2024-09-02,Construction,Durham
1003,"Mcclain, Miller and Henderson",Property,2020-01-30,12951.29,0,Quarterly,6,2024-07-02,Technology,Durham
1004,Davis and Sons,General Liability,2022-12-18,7442.15,3,Annually,3,2024-07-15,Manufacturing,Durham
1005,"Guzman, Hoffman and Baldwin",General Liability,2018-11-13,12113.78,2,Annually,4,2025-04-11,Construction,Durham
1006,"Gardner, Robinson and Lawrence",General Liability,2016-11-24,12599.39,1,Annually,9,2024-12-07,Construction,Durham
1007,Blake and Sons,Commercial Auto,2021-02-08,13401.97,2,Annually,7,2024-08-05,Healthcare,Ajax
1008,"Henderson, Ramirez and Lewis",Cyber,2019-05-03,19860.58,1,Quarterly,1,2025-02-10,Manufacturing,Oshawa
1009,Garcia-James,Commercial Auto,2017-05-01,9756.72,0,Monthly,1,2024-05-24,Transport,Durham
1010,Abbott-Munoz,Cyber,2016-11-25,6462.79,2,Annually,4,2024-06-17,Technology,Ajax
1011,Blair PLC,Errors & Omissions,2019-07-27,12385.78,4,Annually,1,2025-02-01,Construction,Durham
1012,Dudley Group,Commercial Auto,2019-05-31,12478.57,2,Quarterly,5,2025-04-12,Healthcare,Durham
1013,Arnold Ltd,Commercial Auto,2016-01-23,6038.23,2,Quarterly,5,2025-04-21,Construction,Durham
1014,"Mcclure, Ward and Lee",Commercial Auto,2023-05-29,12504.6,0,Annually,4,2025-01-05,Technology,Durham
1015,Williams and Sons,General Liability,2020-01-09,11223.92,0,Monthly,7,2025-01-31,Retail,Oshawa
1016,Galloway-Wyatt,General Liability,2018-02-24,19804.64,1,Quarterly,2,2024-04-29,Transport,Ajax
1017,James Group,Cyber,2015-06-02,12820.07,5,Quarterly,10,2024-12-05,Retail,Durham
1018,"Flowers, Martin and Kelly",Cyber,2023-08-21,16161.31,3,Quarterly,10,2024-08-06,Construction,Ajax
1019,"Adams, Zuniga and Wong",Commercial Auto,2018-12-28,9768.21,2,Quarterly,6,2024-08-19,Finance,Durham
1020,"Reid, Ferguson and Sanchez",Cyber,2022-04-25,5347.16,3,Monthly,2,2025-02-05,Technology,Ajax
1021,Gray-Mayo,General Liability,2020-12-08,17685.12,2,Quarterly,8,2025-03-08,Transport,Durham
1022,"Watts, Robinson and Nguyen",Cyber,2017-01-04,5024.46,3,Quarterly,2,2024-10-13,Technology,Ajax
1023,Perez Inc,Errors & Omissions,2016-10-26,6906.11,5,Annually,6,2025-02-26,Retail,Oshawa
1024,Morales-Jones,General Liability,2023-11-17,16312.86,1,Monthly,3,2025-03-16,Finance,Durham
1025,"Walter, Edwards and Rios",Errors & Omissions,2019-03-19,19137.17,0,Annually,4,2024-10-24,Transport,Whitby
1026,Wilkerson-Day,Cyber,2020-01-13,4704.74,4,Annually,10,2025-04-01,Construction,Oshawa
1027,Baker and Sons,Property,2015-04-24,11641.84,3,Quarterly,2,2024-07-02,Technology,Ajax
1028,"Hoffman, Baker and Richards",Commercial Auto,2022-07-29,16363.38,0,Monthly,1,2024-09-15,Retail,Oshawa
1029,"Ross, Robinson and Bright",General Liability,2021-03-31,16614.51,2,Annually,3,2024-12-18,Construction,Durham
1030,"Snyder, Campos and Callahan",Errors & Omissions,2021-05-19,13438.43,2,Quarterly,10,2024-05-01,Retail,Durham
1031,Burton Ltd,Property,2023-01-02,14637.6,3,Monthly,3,2024-07-12,Technology,Ajax
1032,Carlson-Cruz,Property,2018-02-07,3884.9,3,Annually,10,2025-01-09,Transport,Durham
1033,"Ferrell, Rice and Maddox",General Liability,2015-10-08,9614.76,4,Annually,6,2024-07-02,Healthcare,Ajax
1034,Frazier Inc,General Liability,2016-12-19,13809.9,5,Monthly,1,2024-10-03,Technology,Durham
1035,"Dyer, Potter and Mack",Property,2015-09-03,16674.28,1,Monthly,2,2024-12-28,Manufacturing,Whitby
1036,Rodriguez-Graham,Commercial Auto,2019-12-29,16995.34,3,Annually,5,2024-12-21,Retail,Durham
1037,Smith-Bowen,Commercial Auto,2018-08-02,11018.37,2,Monthly,4,2024-09-07,Retail,Durham
1038,"Baker, Mason and White",Errors & Omissions,2018-03-28,13204.17,4,Monthly,8,2024-08-23,Finance,Pickering
1039,Harrell LLC,Commercial Auto,2017-12-24,4498.39,4,Monthly,5,2024-05-29,Technology,Whitby
1040,"Romero, Gonzalez and Brooks",Property,2019-04-18,7472.56,2,Quarterly,9,2024-07-19,Construction,Oshawa
1041,Ryan PLC,Property,2016-01-29,9304.2,2,Monthly,4,2025-04-16,Retail,Durham
1042,George Group,Cyber,2018-05-12,13353.49,0,Monthly,1,2024-06-12,Finance,Durham
1043,Rodriguez LLC,Property,2018-08-23,15316.41,5,Annually,10,2024-10-22,Manufacturing,Toronto
1044,Allen-Allen,Commercial Auto,2018-11-13,18821.64,3,Quarterly,4,2024-09-28,Construction,Durham
1045,"Arroyo, Miller and Tucker",Errors & Omissions,2018-09-03,9810.96,4,Monthly,1,2024-05-23,Finance,Whitby
1046,Spence PLC,Cyber,2017-07-26,14154.98,3,Annually,10,2025-01-01,Retail,Oshawa
1047,Anderson Group,Commercial Auto,2020-04-30,7869.98,2,Quarterly,7,2024-10-20,Manufacturing,Durham
1048,"Martin, Rose and Obrien",Errors & Omissions,2023-02-24,19380.01,5,Annually,8,2024-12-13,Technology,Durham
1049,Hickman Ltd,Commercial Auto,2016-05-08,3976.87,0,Annually,2,2025-03-06,Retail,Durham
1050,"Harris, Collins and Carney",Cyber,2022-12-15,16151.34,4,Annually,4,2024-08-17,Transport,Durham
